"x","y"
"-0.005","24"
"0.015","1"
"0.025","1"
"0.035","1"
"0.045","1"
"0.065","1"
"0.085","4"
"0.095","2"
"0.115","2"
"0.125","2"
"0.135","1"
"0.145","2"
"0.165","3"
"0.175","1"
"0.185","3"
"0.195","7"
"0.205","4"
"0.215","5"
"0.225","3"
"0.235","5"
"0.245","4"
"0.255","1"
"0.265","3"
"0.285","2"
"0.295","6"
"0.305","1"
"0.315","4"
"0.325","2"
"0.345","1"
"0.365","3"
"0.375","1"
"0.395","6"
"0.415","1"
"0.425","1"
"0.445","1"
"0.465","1"
"0.485","1"
"0.495","1"
"0.505","2"
"0.515","2"
"0.525","2"
"0.545","1"
"0.555","1"
"0.565","2"
"0.585","1"
"0.595","1"
"0.605","1"
"0.625","1"
"0.635","2"
"0.645","2"
"0.665","1"
"0.675","4"
"0.685","1"
"0.695","1"
"0.715","1"
"0.735","1"
"0.755","1"
"0.765","1"
"0.785","2"
"0.795","1"
"0.805","1"
"0.815","2"
"0.835","3"
"0.845","1"
"0.855","3"
"0.865","2"
"0.875","1"
"0.885","4"
"0.895","6"
"0.905","6"
"0.915","1"
"0.925","6"
"0.935","8"
"0.945","5"
"0.955","15"
"0.965","10"
"0.975","11"
"0.985","9"
"0.995","35"
